uid,latitude,longitude,free_bikes
1,-23.5668309564147,-46.6937412022694,15
3,-23.5664776214954,-46.7012582819428,1
4,-23.5691446194095,-46.6920025786078,2
5,-23.56903870952971,-46.6973044204905,6
6,-23.5721366373874,-46.6901067804038,4
7,-23.5725441757412,-46.6936810045059,12
9,-23.575610896422,-46.6873608611159,7
10,-23.5746792860054,-46.6893026745285,7
12,-23.5661641536793,-46.6939591666242,3
13,-23.5795958800921,-46.6906372471165,8
14,-23.5808802329648,-46.6847086015679,8
15,-23.5824196171547,-46.6870353144305,12
16,-23.5823017032445,-46.6912872947886,19
17,-23.584681022117117,-46.68358637011905,13
18,-23.5866957209891,-46.6839182197003,22
19,-23.5957237516205,-46.6907050831378,3
20,-23.58399393492445,-46.689837707270826,4
21,-23.5890444167307,-46.6882179128703,18
22,-23.5892048894301,-46.683922812607,11
23,-23.5939175701022,-46.6912681158608,6
24,-23.5926646139517,-46.6880574172455,2
25,-23.592760580122647,-46.6844881607132,13
26,-23.595471393840597,-46.68321603623269,15
27,-23.5925,-46.68132,23
28,-23.5933504143939,-46.6770266849259,7
30,-23.5902983608513,-46.6737765059991,10
32,-23.5904191029121,-46.6659155439702,6
33,-23.5880294812907,-46.6654595024922,7
35,-23.5872880300388,-46.6730159471865,12
36,-23.58689,-46.67548,14
37,-23.5876426356319,-46.679125355911,15
40,-23.5836480572258,-46.6720676960475,8
44,-23.5786981592082,-46.6601881480506,13
47,-23.5787313776399,-46.6705247776249,9
48,-23.5795039033974,-46.6732522004535,5
50,-23.582404103589724,-46.68139126722924,12
53,-23.5871323494481,-46.6820977165766,5
59,-23.5561973682702,-46.6926703781386,0
69,-23.5657634935473,-46.6660490874622,6
71,-23.5699175975531,-46.6596995408145,5
73,-23.5770321440522,-46.6564518396582,5
75,-23.5803036309472,-46.6504327496116,7
76,-23.5742984595697,-46.6540400716306,2
77,-23.570389641893,-46.6553101677443,1
83,-23.562835912553,-46.6649115916232,2
85,-23.55595,-46.66266,3
86,-23.55842,-46.65961,0
87,-23.560031477862115,-46.65778968894957,0
90,-23.5645728749771,-46.6523898406747,0
91,-23.5662497091298,-46.6504363824566,2
92,-23.5681059122191,-46.6486743523506,2
95,-23.5681587220928,-46.6489777696966,1
100,-23.5703654,-46.6458822,3
101,-23.6049435587906,-46.6949615662523,4
102,-23.6118685865358,-46.694953329576,10
103,-23.6089863999008,-46.6944769361133,2
105,-23.60238086265165,-46.6922235665003,5
112,-23.6121427531147,-46.6957413582252,8
114,-23.6013159108738,-46.68170564666,0
115,-23.6001574646657,-46.6894766023497,3
117,-23.5966593672495,-46.6865907226439,14
118,-23.5977973921346,-46.6840348376308,9
119,-23.5970325358107,-46.6804311376391,4
120,-23.5997736418236,-46.6795527222334,12
121,-23.5978131886461,-46.6776630781739,0
122,-23.600724,-46.675455,0
123,-23.5948089866643,-46.6749451529719,1
124,-23.5940306200704,-46.6692773588711,11
125,-23.5972296670023,-46.6716583619071,2
126,-23.6013401704407,-46.6711916347834,4
127,-23.600369824627,-46.668921020279,1
129,-23.603478,-46.664001,0
131,-23.593685,-46.660042,3
132,-23.5921163886911,-46.6553996394387,4
135,-23.582078,-46.657321,2
136,-23.5563524,-46.6596949,1
138,-23.5936014851943,-46.6800723302731,13
140,-23.590773597943684,-46.68875780368327,16
141,-23.5827091295632,-46.6838868603995,20
143,-23.586701,-46.677361,17
144,-23.586778592564983,-46.681167822723374,20
145,-23.6049719308606,-46.6962601886354,2
146,-23.588615386971195,-46.65265270967836,6
150,-23.5749909630878,-46.6415215997509,0
151,-23.5697804473938,-46.6399782950921,3
153,-23.5604966383472,-46.6422656825963,4
154,-23.5578839112131,-46.6397155073801,5
156,-23.57602653,-46.68882459,13
158,-23.60889662,-46.66871281,8
162,-23.5550645493143,-46.6520335101847,1
163,-23.5530167175194,-46.6510376596248,0
167,-23.5485777016467,-46.6471562050592,1
168,-23.60747033,-46.66538038,8
169,-23.552657354472,-46.6423831739113,2
175,-23.5579898497291,-46.6579877600663,1
176,-23.547640346185,-46.6406185501522,13
177,-23.5428158801363,-46.6395339948596,3
178,-23.5456630543638,-46.6432462652324,8
181,-23.5398674287039,-46.6498022180738,3
182,-23.54910041,-46.64845066,4
183,-23.546492,-46.650393,6
184,-23.53999026,-46.65282037,3
187,-23.5456065509866,-46.6570562938632,2
189,-23.5706120024434,-46.6904882733558,0
190,-23.5678391124139,-46.6640697432797,4
193,-23.569908843225,-46.7080343523465,3
194,-23.5415334086621,-46.6555547195509,1
196,-23.5369791042457,-46.6541473967476,2
198,-23.5358897652191,-46.656765280581,2
204,-23.556727,-46.664197,0
207,-23.561309,-46.670715,0
211,-23.5608,-46.6732,1
215,-23.5594417332263,-46.6784556405711,1
216,-23.5621418901363,-46.6765358521077,0
219,-23.562391736521963,-46.68292735183714,0
220,-23.56482,-46.68104,5
222,-23.5587392337508,-46.6871313395988,1
223,-23.5620789029004,-46.6871566756018,2
224,-23.5655318803865,-46.6848831891663,5
225,-23.5687716945858,-46.6841990407743,4
227,-23.5610082884253,-46.6908515920839,0
229,-23.5661229934209,-46.6876470783052,1
231,-23.5614126775109,-46.6953706304033,5
232,-23.5652988887731,-46.695663653168,1
234,-23.5587771000465,-46.699386022988,14
240,-23.5541789045117,-46.707987125315,1
241,-23.5567967829597,-46.7109312356492,3
242,-23.5626317229985,-46.7261720365212,6
243,-23.5599272394511,-46.72710617306,19
244,-23.570594,-46.707938,9
245,-23.5654280569129,-46.7129912900556,4
247,-23.562020824986,-46.7175716449639,14
248,-23.5625149269804,-46.722825563147,6
252,-23.5551999484936,-46.7241492890766,9
253,-23.5560950313374,-46.7322053771584,19
254,-23.5528308718055,-46.7322243615549,13
256,-23.5597355337842,-46.7398201170462,6
262,-23.5501563898634,-46.7175712669578,3
280,-23.6148978364611,-46.687426359836,0
285,-23.54512,-46.64764,2
292,-23.5789116092428,-46.640856930462,0
293,-23.5808426571183,-46.6377561803736,2
295,-23.5844511087101,-46.6364894393958,1
296,-23.5808723459433,-46.6389882042411,2
297,-23.5819406080888,-46.6428930721909,3
303,-23.5871298485912,-46.6432336771114,1
304,-23.5918790017162,-46.6422240650602,2
307,-23.5898021306398,-46.6350854815602,0
308,-23.5950450453396,-46.6376374921996,1
309,-23.597741851622057,-46.66891624271391,12
313,-23.5976149401058,-46.6527798263341,0
315,-23.5981107484271,-46.6469924961933,1
317,-23.5987326403293,-46.6391030550847,0
319,-23.6037621017182,-46.6616847898962,2
322,-23.609452586953,-46.6681444400963,1
325,-23.6042556584336,-46.6742727797395,2
332,-23.6107351221245,-46.6804598847155,1
333,-23.6170138247081,-46.6813978502872,0
334,-23.6129704331121,-46.6832068389874,1
335,-23.6106846259976,-46.6859131865383,0
336,-23.6110922047536,-46.6889117358413,2
339,-23.6188143994929,-46.6839186756531,0
351,-23.59211,-46.64664,5
352,-23.5682352949967,-46.7407149326958,4
353,-23.5670983269173,-46.7377390474673,1
354,-23.5716043779296,-46.6442662143517,0
356,-23.563675157567,-46.7415201080188,2
357,-23.559303418872275,-46.73011890367904,23
370,-23.5685409711413,-46.7318266369691,0
373,-23.5470791934803,-46.7162932669707,2
374,-23.54346224854284,-46.725929774890005,4
387,-23.5601005487719,-46.7131577012467,1
391,-23.564559,-46.723564,2
394,-23.55981663388075,-46.72268965684082,18
399,-23.5606860577466,-46.7356926767203,8
405,-23.54402567,-46.63454504,12
406,-23.5561474,-46.63624180000001,6
408,-23.55435409,-46.69622889,9
409,-23.6064909,-46.663251,3
410,-23.546229818994608,-46.64839843168885,4
411,-23.57306366,-46.69823431,3
412,-23.55988804,-46.64540098,0
414,-23.56692,-46.69819,2
421,-23.6005561179321,-46.6577541150754,1
422,-23.5958920911892,-46.6641781648402,5
435,-23.581559891340504,-46.67270008886336,1
444,-23.5317430614974,-46.6591867859776,5
446,-23.5337422,-46.657056,9
450,-23.5302119408073,-46.6661266859547,7
452,-23.59828,-46.67307,9
458,-23.5578862207592,-46.6818450911924,0
464,-23.562835382084767,-46.63829651323418,6
465,-23.5645330138706,-46.6780573829128,2
467,-23.59280085840878,-46.68018076980589,32
468,-23.5312748251908,-46.6630801969376,4
469,-23.6042263595434,-46.6369958975112,3
473,-23.5490344,-46.6516461,0
474,-23.568702,-46.687872,0
475,-23.53394635914628,-46.65272801416496,4
510,-23.6063581937549,-46.658132680469,6
522,-23.583125061273908,-46.678414800463976,8
523,-23.5912197048481,-46.6771228501369,6
525,-23.598937,-46.676138,0
527,-23.5848738708584,-46.6767011328237,10
538,-23.595770102430063,-46.680116396789536,3
551,-23.5859675,-46.6793726,18
552,-23.5935199,-46.6803285,4
553,-23.59469,-46.686,17
554,-23.58099,-46.68263,16
556,-23.59644,-46.68855,4
557,-23.58861,-46.68113,11
561,-23.58975,-46.68558,18
563,-23.59846,-46.66696,4
564,-23.5942,-46.67398,0
566,-23.58631,-46.68691,7
568,-23.55173,-46.63486,1
569,-23.58681,-46.63469,0
570,-23.5672,-46.69548,1
571,-23.60974,-46.66284,4
573,-23.57748,-46.64081,3
578,-23.55977,-46.69695,8
582,-23.59031,-46.68351,17
585,-23.58876,-46.67642,7
587,-23.56008,-46.65822,0
590,-23.56758,-46.68716,1
592,-23.59955,-46.69074,12
593,-23.59439,-46.68433,12
595,-23.56979,-46.6465,2
597,-23.54068,-46.64856,3
598,-23.5448,-46.64624,7
599,-23.5468,-46.646,8
601,-23.57364,-46.64214,1
603,-23.584989121757527,-46.67328100587314,2
605,-23.5856571,-46.6811568,11
610,-23.5405397962493,-46.6450250865799,9
615,-23.59758,-46.67515,4
619,-23.5877136,-46.68513230000001,15
620,-23.5963789,-46.6793465,8
628,-23.59874,-46.67144,7
629,-23.603330556072383,-46.69256721103667,1
